BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
10,"","","Vašut, Marek","Open-Source Tools for FPGA Development","",,,"10","",2016,"","","https://www.youtube.com/watch?v=MI18Wk4gxA4","","","","","Engineering, D. E. N. X.  Software & Foundation, The Linux","","","","","","","","Programmable hardware is becoming increasingly popular in the recent years, yet the software tools for working with such programmable hardware are dominated by closed-source proprietary solutions. This is now changing. In this presentation, Marek will summarize the open-source tools for working with programmable hardware, like "icestorm", "vtr", "ghdl" and "iverilog". Marek will show how to use the open-source tools to produce a working design and explain the benefits and limitations of such solutions. At the end of the talk, Marek will outline the process of implementing such tools to demonstrate why this is so much effort.","","open source, fpga, tools, development","",""
10,"","","","After Moore's law, the future of computing","",,,"3","",2016,"","","https://www.economist.com/leaders/2016/03/12/the-future-of-computing","","","","","Economist, The","","","","","","","","The era of predictable improvement in computer hardware is ending.[…] Making transistors smaller no longer guarantees that they will be cheaper or faster. […] Chips will still get better, but at a slower pace (number-crunching power is now doubling only every 2.5 years, says Intel). The future of computing will be defined by improvements in three other areas, beyond raw hardware performance : software, cloud and new computing architectures. For the technology industry itself, the decline of Moore’s law strengthens the logic for centralised cloud computing, already dominated by a few big firms: Amazon, Google, Microsoft, Alibaba, Baidu and Tencent.","","moore, computing, future","",""
10,"","","","GPU vs FPGA Performance Comparison (white paper)","",,,"5","",2016,"","","http://www.bertendsp.com/pdf/whitepaper/BWP001_GPU_vs_FPGA_Performance_Comparison_v1.0.pdf","","","","","Processing, Berten Digital Signal","","","","","","","","","","comparison, gpu, fpga, white paper","",""
10,"","2019-08-14","","When (and why) is it a good idea to use an FPGA in your embedded system design?","",,,"12","",2017,"","","https://www.embeddedrelated.com/thread/4878/when-and-why-is-it-a-good-idea-to-use-an-fpga-in-your-embedded-system-design","","","","","Related, Embedded","","","","","","","","","","determinism, performance, IO flexibility/complicated interfaces, rapidly evolving standards, security","",""
1,"978-1-119-39049-7","","Moore, Andrew & Wilson, Ron","FPGAs for Dummies","",,,"1","",2017,"","","https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/misc/fpgas_for_dummies_ebook.pdf","","","","","Intel","","","","","","","","Field programmable gate arrays (FPGAs) are integrated cir-cuits that enable designers to program customized digital logic in the field. FPGAs have been around since the 1980s and were originally conceived to give all design teams the ability to create custom logic. In the early days, using an FPGA in your design meant you had to do a lot of programming just to get your FPGA to perform simple functions, so most design-ers avoided them. If you haven’t looked into FPGAs since your university studies way back when, you’ll want to take another look at them.The FPGA has evolved from a useful but humble interface device into a system-level integrated circuit (IC) with its own microprocessors, memory blocks, and interfaces. It’s the next big thing.Now would be a great time to get an inexpensive development kit, download free tools, and begin to explore this world for yourself. And this book will help you understand the practical uses of FPGAs.","","fpga, intel, altera, dummies","",""
10,"","","Staff, I. B. M.  Research Editorial","IBM Scientifs Demonstrate In-memory Computing with 1 Million Devices for Applications in AI","",,,"10","",2017,"","","https://www.ibm.com/blogs/research/2017/10/ibm-scientists-demonstrate-memory-computing-1-million-devices-applications-ai/","","","","","Blog, I. B. M.  Research","","","","","","","","","","in-memory computing, computational memory, ibm, phase change memory","",""
10,"","","Sebastian, Abu; Tuma, Tomas; Papandreou, Nikolaos; Gallo, Manuel Le; Kull, Lukas & Eleftheriou, Thomas Parnell \& Evangelos","Temporal correlation detection using computational phase-change memory","",,,"10","",2017,"","","https://www.nature.com/articles/s41467-017-01481-9","","","","","communications, Nature","","","","","","","","Conventional computers based on the von Neumann architecture perform computation by repeatedly transferring data between their physically separated processing and memory units. As computation becomes increasingly data centric and the scalability limits in terms of performance and power are being reached, alternative computing paradigms with collocated computation and storage are actively being sought. A fascinating such approach is that of computational memory where the physics of nanoscale memory devices are used to perform certain computational tasks within the memory unit in a non-von Neumann manner. We present an experimental demonstration using one million phase change memory devices organized to perform a high-level computational primitive by exploiting the crystallization dynamics. Its result is imprinted in the conductance states of the memory devices. The results of using such a computational memory for processing real-world data sets show that this co-existence of computation and storage at the nanometer scale could enable ultra-dense, low-power, and massively-parallel computing systems.","","phase-change memory","",""
10,"","","Sato, Kaz; Young, Cliff & Patterson, David","An in-depth look at Google’s first Tensor Processing Unit (TPU)","",,,"5","",2017,"","","https://cloud.google.com/blog/products/gcp/an-in-depth-look-at-googles-first-tensor-processing-unit-tpu","","","","","Google","","","","","","","","There’s a common thread that connects Google services such as Google Search, Street View, Google Photos and Google Translate: they all use Google’s Tensor Processing Unit, or TPU, to accelerate their neural network computations behind the scenes.","","tpu, tensor processing unit, google, architecture, reconfigurable computing","",""
10,"","","Dean, Jeff & Hölzle, Urs","Build and train machine learning models on our new Google Cloud TPUs","",,,"5","",2017,"","","https://blog.google/products/google-cloud/google-cloud-offer-tpus-machine-learning/","","","","","Google","","","","","","","","","","tpu, tensor processing unit, google, reconfigurable computing, ai","",""
10,"","","Wood, Lamont","CPU architecture after Moore’s law: what’s next?","",,,"7","",2017,"","","https://www.computerworld.com/article/3209724/cpu-architecture-after-moores-law.html","","","","","Computerworld","","","","","","","","“In five years we will be 10% ahead of where we are now,” [Jim Turley, founder of Silicon Insider] predicts. “Every few years there is a university research project that thinks they are about to overturn the tried-and-true architecture that John von Neumann and Alan Turing would recognize — and unicorns will dance and butterflies will sing. It never really happens, and we just make the same computers go faster and everyone is satisfied. In terms of commercial value, steady, incremental improvement is the way to go.” “Power dissipation is the whole deal,” says Tom Conte, a professor at the Georgia Institute of Technology and past president of the IEEE Computer Society. “Removing 150 watts per square centimeter is the best we can do without resorting to exotic cooling, which costs more.” “Eight things in parallel is about the limit, and hardly any programs use more than three or four cores. So we have run into a wall on getting speed from cores. The cores themselves are not getting much wider than 64 bits. Intel-style cores can do about five instructions at a time, and ARM cores are up to three, but beyond five is the point of diminishing returns, and we need new architecture to get beyond that. The bottom line is traditional software will not get much faster.” − Linley Gwennap, analyst at The Linley Group.","","","",""
10,"","","","Field Programmable Gate Array (FPGA) History and Applications","",,,"2","",2018,"","","http://hardwarebee.com/field-programmable-gate-array-fpga-history-applications/","","","","","Hardwarebee","","","","","","","","","","altera, fpga, history","",""
10,"","","Reese, Lynnette","Comparing hardware for artificial intelligence: FPGAs vs. GPUs vs. ASICs","",,,"7","",2018,"","","https://eecatalog.com/intel/2018/07/24/comparing-hardware-for-artificial-intelligence-fpgas-vs-gpus-vs-asics/","","","","","Solutions, Embedded Intel","","","","","","","","","","fpga, asic, gpu, cpu, comparison","",""
10,"","","","FPGA vs CPU vs GPU vs Microcontroller","",,,"10","",2018,"","","https://static4.arrow.com/-/media/images/research-and-events/articles/1018
/arrow_fpgavscpuvsgpuvsmicrocontroller.pdf","","","","","Arrow","","","","","","","","Tableaux comparatifs des points forts des différentes technologies","","fpga, cpu, gpu, comparison, asic","",""
10,"","","Dubuc, Damien","Afin de terminer notre série de billets, voici quelques réflexions et perspectives que nous ressortons de l’étude","",,,"2","",2018,"","","https://www.aneo.eu/2018/02/06/perspectives-quant-a-lutilisation-fpga-chez-aneo-billet-8/","","","","","Aneo","","","","","","","","","","","",""
10,"","","Castells-Rufas, David","Workshop: programming FPGAs with OpenCL","",,,"5","",2018,"","","http://www.sie.es/wp-content/uploads/2018/06/FPGA-with-OpenCL.pdf","","","","","Cephis","","","","","","","","","","opencl, fpga, energy efficiency","",""
10,"","","Staff, I. B. M.  Research Editorial","IBM Scientists Demonstrate Mixed-Precision In-Memory Computing for the First Time; Hybrid Design for AI Hardware","",,,"4","",2018,"","","https://www.ibm.com/blogs/research/2018/04/ibm-scientists-demonstrate-mixed-precision-in-memory-computing-for-the-first-time-hybrid-design-for-ai-hardware/","","","","","Blog, I. B. M.  Research","","","","","","","","","","in-memory computing, hybrid, ibm","",""
10,"","","Thornton, Scott","What's the difference between Von-Neumann and Harvard architectures?","",,,"3","",2018,"","","https://www.microcontrollertips.com/difference-between-von-neumann-and-harvard-architectures/","","","","","Tips, Microcontroller","","","","","","","","","","architecture, von neumann, harvard, bottleneck","",""
10,"","","Arenas, Aaron","Introduction to FPGA design in Quartus","",,,"8","",2018,"","","https://fpgawiki.intel.com/uploads/0/07/Intro_to_FPGA_Workshop_Slides.pdf","","","","","Intel","","","","","","","","FPGAs at Intel Fundamentals of Digital Electronics FPGA Architecture Intel® Quartus® Prime Design Software FPGA Design Flow","","fpga, quartus, intel","",""
10,"","","Haff, Gordon","What comes after Moore's law","",,,"9","",2018,"","","https://enterprisersproject.com/article/2018/9/what-comes-after-moores-law","","","","","Project, The Enterprisers","","","","","","","","Moore’s Law has also led to a computing environment that tends to be dominated by general-purpose designs. […] Reasonable people may disagree on exactly where we sit in the Moore’s Law endgame, a question that’s increasingly hard to even precisely frame as process nodes like 10nm become more akin to marketing terms than literal descriptions of feature sizes. […] However, no one seriously disputes that Moore’s Law is getting close to fundamental physical limits as processor features are approaching the size of atoms.","","moore, computing, future","",""
10,"","","Gartenberg, Chaim","How Intel’s 9th Gen chips show the way forward after Moore’s Law","",,,"10","",2018,"","","https://www.theverge.com/circuitbreaker/2018/10/11/17963356/intel-9th-gen-chips-moores-law-future-processors-cores","","","","","Verge, The","","","","","","","","Intel’s 9th Gen Core processors are here, and, as expected, they’re simply a refresh of the last generation of chips, with the same 14nm process the company’s been using since 2014. […] Intel still hasn’t managed to move on from its 14nm manufacturing node to the next step, its repeatedly delayed 10nm process.","","intel, next generation, processor","",""
10,"","","Rayome, Alison DeNisco","How programming will change over the next 10 years: 5 predictions","",,,"9","",2018,"","","https://www.techrepublic.com/article/how-programming-will-change-over-the-next-10-years-5-predictions/","","","","","TechRepublic","","","","","","","","1) Programming will be more abstract 2) AI will become part of every developer's toolkit, but won't replace them. Development tools will try to predict developers' intent and make it quicker for them to express that intent, which in the end, becomes another form of abstraction 3) A universal programming language will arise. To reap the benefits of emerging technologies like AI, programming has to be easy to learn and easy to build upon. 4) Every developer will need to work with data. Developers of the future will need to learn more skills, particularly in data analysis. 5) Programming will be a core tenet of the education system.","","programming, future","",""
10,"","","Burt, Jeffrey","FPGA make Xilinx says the future of computing if ACAP","",,,"3","",2018,"","","https://www.nextplatform.com/2018/03/19/fpga-maker-xilinx-says-the-future-of-computing-is-acap/","","","","","Platform, The Next","","","","","","","","","","xilinx, fpga, future, computing","",""
10,"","","","Computers for electronic and mechanical engineering","",,,"","",2019,"","","https://www.museumwaalsdorp.nl/en/history/comphistory/computer-history-the-period-1986-1989/comp866e/","","","","","Waalsdorp, Museum","","","","","","","","","","calma, cad, engineering, pcb","",""
10,"","","","Cyclone V Device Handbook: Volume 1: Device Interfaces and Integration, Logic Array Blocks and Adaptive Logic Modules in Cyclone V Devices","",,,"5","",2019,"","","https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/cyclone-v/cv_5v2.pdf","","","","","Altera, Intel","","","","","","","","","","altera, intel, cyclone v","",""
10,"","","","BitFusion, the elastic AI infrastructure for multi-cloud","",,,"6","",2019,"","","https://bitfusion.io/","","","","","BitFusion","","","","","","","","","","gpu, fpga, asic, ai, performance","",""
10,"","","","Infineon et NXP devant STMicroelectronics au 1er trimestre 2019","",,,"5","",2019,"","","https://www.vipress.net/infineon-et-nxp-devant-stmicroelectronics-au-1er-trimestre-2019/","","","","","ViPress.net","","","","","","","","Après avoir déjà dépassé Samsung au 4e trimestre 2018, Intel renforce ainsi son avance sur le Coréen de près de 3 milliards de dollars au 1er trimestre 2019, selon IC Insights. Intel a détrôné Samsung en tant que premier fournisseur de semiconducteurs au 4e trimestre 2018 après avoir perdu sa place au profit de Samsung au 2e trimestre 2019. Alors que Samsung occupait le premier rang du classement pour l’ensemble de 2017 et de 2018, Intel devrait reprendre facilement le premier rang pour l’année entière de 2019, poste qu’il occupait auparavant de 1993 à 2016. Le retournement des marchés des mémoires Drams et flash NAND au cours de l’année écoulée explique ce basculement. Au premier trimestre 2018, les ventes totales de semiconducteurs de Samsung étaient supérieures de 23% à celles d’Intel ; au 1er trimestre 2019, c’est l’inverse : celles d’Intel dépassent celles du Coréen de 23% !","","semi-conducteur, classement, intel, samsung, ventes","",""
10,"","","","Cyclone V Device Datasheet","",,,"1","",2019,"","","https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/cyclone-v/cv_51002.pdf","","","","","Altera, Intel","","","","","","","","","","cyclone v, fpga, intel, altera, maximum, frequency, performance","",""
10,"","","Cantrill, Bryan","No Moore Left to Give","",,,"6","",2019,"","","https://www.slideshare.net/bcantrill/no-moore-left-to-give-enterprise-computing-after-moores-law","","","","","Joyent","","","","","","","","","","moore's law, computing","",""
10,"","","Suryavansh, Manu","Google Coral Edge TPU Board Vs NVIDIA Jetson Nano Dev board - Hardware comparison","",,,"4","",2019,"","","https://towardsdatascience.com/google-coral-edge-tpu-board-vs-nvidia-jetson-nano-dev-board-hardware-comparison-31660a8bda88","","","","","Science, Towards Data","","","","","","","","Both NVidia and Google recently released dev board targeted towards EdgeAI and also at a cost point to attract developers, makers and hobbyists. Both the dev boards are primarily for inference, but support limited transfer learning re-training. The Edge TPU supports transfer learning training using weight imprinting technique. Both of the dev kits consists of a SOM (System-on-Module) connected to a dev board which has various connectors like USB, Ethernet, microSD slots etc. This is a comparison of the hardware for the two dev kits which can be used as Single board computer (SBC) and not the Edge TPU USB stick. If you don’t want to read the whole article, in my opinion the Coral Edge dev kit is slightly better value for the money as it includes essential peripherals like Wifi and Bluetooth however the Jetson Nano has better software support (both INT8 and FP16 Inference).","","tpu, nvidia, google, coral, jetson","",""
10,"","","Sterckval, Sam","Google Coral Edge TPU vs NVIDIA Jetson Nano : A quick deep dive into Edge AI performance","",,,"4","",2019,"","","https://blog.usejournal.com/google-coral-edge-tpu-vs-nvidia-jetson-nano-a-quick-deep-dive-into-edgeai-performance-bc7860b8d87a","","","","","Noteworthy","","","","","","","","Recently I’ve been reading, testing, and writing a bit about edge computing (like here, and here), with the main focus on edge AI. With cool new hardware hitting the shelves recently, I was eager to compare performance of the new platforms, and even test them against high performance systems.  Of these 3 bars, 2 of them where achieved by the Google Coral Edge TPU USB accelerator, and the 3rd one was a full blown NVIDIA GTX1080 assisted by an Intel i7–7700K. The GTX1080 draws a maximum of 180W, which is absolutely HUGE compared to the Corals 2.5W.  Next thing we see, is that the NVIDIA Jetson Nano isn’t scoring well at all. Although it has a CUDA enabled GPU, it’s really not much faster then my old i7–4870HQ. But that’s the catch, ‘not much faster’, it still is faster then a 50W, quad-core, hyperthreading CPU. From a few years back, true, but still. The Jetson Nano never could have consumed more then a short term average of 12.5W, because that’s what I’m powering it with. That’s a 75% power reduction, with a 10% performance increase.","","jetson, nvidia, google, coral, tpu","",""
10,"","","","Comparison of two new machine learning accelerators, Coral and Jetson Nano","",,,"5","",2019,"","","https://blog.grusbv.com/comparison-of-google-coral-and-nvidia-jetson-nano/","","","","","Blog, Grus","","","","","","","","NVidia favors flexibility with its multiple GPU cores to efficiency, which Google favors with its stripped down core with only 8-bit integer support. In the few benchmarks that were made available by NVidia, Google excels in application performance, except with the Inception-v4 model. With its tiny size, Coral surprises many, and it is their selling point. In short, it seems that Nvidia favors upgradability, development flexibility whereas Google favors the performance and connectivity.  I would say that in order to begin working on machine learning on embedded systems, (or as some call AI on the edge) I would recommend the Jetson Nano. Though there is a sense of urgency around the topic and a powerful impetus towards inference performance, development environment still counts. Switching, if necessary would not be much of an issue.  We, on the other hand, are designing on both of them, actually also with many others including Intel Movidius Neural Compute Stick or straight STM32 ARM Cortex microcontrollers with machine learning optimizations. They cover a wide range of the ML inference domain, and should be chosen specifically for the application.","","google, nvidia, jetson, coral, tpu","",""
10,"","","Feldman, Michael","With Agilex, Intel gets a coherent FPGA strategy","",,,"4","",2019,"","","https://www.nextplatform.com/2019/04/02/with-agilex-intel-gets-a-coherent-fpga-strategy/","","","","","Platform, The Next","","","","","","","","","","intel, agilex","",""
